	Data Name	Target No.	CMC(l:c)(D50)	Judgement	Pseudo Color(D50)	L*(D50)	a*(D50)	b*(D50)	dL*(D50)	da*(D50)	db*(D50)	dE*ab(D50)
    90 	[Retrieved Data]90 (5/13/2024 9:20:54 PM)	3	32.08	------		76.80	4.34	19.83	-16.91	2.73	24.01	29.49
    91 	[Retrieved Data]91 (5/13/2024 9:20:54 PM)	3	22.68	------		88.40	1.28	13.81	-6.87	-0.47	17.59	18.89
    91 	[Retrieved Data]91 (5/13/2024 9:20:54 PM)	3	23.84	------		86.39	1.41	14.20	-7.32	-0.20	18.37	19.78
    92 	[Retrieved Data]92 (5/13/2024 9:20:54 PM)	3	15.56	------		93.07	0.95	8.15	-2.21	-0.80	11.93	12.15
    92 	[Retrieved Data]92 (5/13/2024 9:20:54 PM)	3	16.28	------		91.27	0.99	8.18	-2.44	-0.61	12.36	12.61
    93 	[Retrieved Data]93 (5/13/2024 9:20:54 PM)	3	9.95	------		92.16	3.35	3.44	-3.12	1.60	7.22	8.02
    93 	[Retrieved Data]93 (5/13/2024 9:20:54 PM)	3	10.46	------		90.31	3.47	3.27	-3.40	1.86	7.45	8.40
    94 	[Retrieved Data]94 (5/13/2024 9:20:54 PM)	3	4.23	------		94.35	0.57	-0.30	-0.92	-1.18	3.47	3.78
    94 	[Retrieved Data]94 (5/13/2024 9:20:54 PM)	3	4.15	------		92.64	0.55	-0.65	-1.07	-1.06	3.53	3.83
    95 	[Retrieved Data]95 (5/13/2024 9:20:54 PM)	3	0.06	------		95.26	1.74	-3.83	-0.02	-0.01	-0.05	0.06
    95 	[Retrieved Data]95 (5/13/2024 9:20:54 PM)	3	0.20	------		93.60	1.72	-4.29	-0.11	0.11	-0.11	0.19
