	Data Name	Target No.	CMC(l:c)(D65)	Judgement	Pseudo Color(D65)	L*(D65)	a*(D65)	b*(D65)	dL*(D65)	da*(D65)	db*(D65)	dE*ab(D65)
    73 	[Retrieved Data]73 (5/13/2024 9:20:54 PM)	3	58.07	------		50.72	-32.21	20.76	-43.12	-33.42	24.43	59.78
    74 	[Retrieved Data]74 (5/13/2024 9:20:54 PM)	3	81.10	------		65.62	39.34	50.65	-29.76	37.92	53.99	72.38
    74 	[Retrieved Data]74 (5/13/2024 9:20:54 PM)	3	92.70	------		62.26	42.23	61.06	-31.58	41.01	64.72	82.88
    75 	[Retrieved Data]75 (5/13/2024 9:20:54 PM)	3	4.79	------		89.65	0.72	-5.49	-5.73	-0.70	-2.15	6.16
    75 	[Retrieved Data]75 (5/13/2024 9:20:54 PM)	3	3.93	------		89.57	0.82	-5.84	-4.28	-0.40	-2.17	4.81
    76 	[Retrieved Data]76 (5/13/2024 9:20:54 PM)	3	4.79	------		89.65	0.72	-5.50	-5.72	-0.70	-2.15	6.15
    76 	[Retrieved Data]76 (5/13/2024 9:20:54 PM)	3	3.93	------		89.57	0.82	-5.84	-4.28	-0.40	-2.17	4.81
    77 	[Retrieved Data]77 (5/13/2024 9:20:54 PM)	3	4.78	------		89.65	0.72	-5.49	-5.73	-0.69	-2.14	6.15
    77 	[Retrieved Data]77 (5/13/2024 9:20:54 PM)	3	3.93	------		89.57	0.82	-5.83	-4.28	-0.40	-2.16	4.81
    78 	[Retrieved Data]78 (5/13/2024 9:20:54 PM)	3	4.79	------		89.64	0.72	-5.48	-5.74	-0.70	-2.14	6.16
    78 	[Retrieved Data]78 (5/13/2024 9:20:54 PM)	3	3.93	------		89.56	0.82	-5.83	-4.29	-0.40	-2.17	4.82
    79 	[Retrieved Data]79 (5/13/2024 9:20:54 PM)	3	4.79	------		89.64	0.72	-5.48	-5.74	-0.70	-2.13	6.16
    79 	[Retrieved Data]79 (5/13/2024 9:20:54 PM)	3	3.93	------		89.56	0.82	-5.83	-4.29	-0.40	-2.16	4.82
    80 	[Retrieved Data]80 (5/13/2024 9:20:54 PM)	3	4.79	------		89.64	0.72	-5.48	-5.74	-0.70	-2.13	6.16
    80 	[Retrieved Data]80 (5/13/2024 9:20:54 PM)	3	3.93	------		89.56	0.82	-5.82	-4.29	-0.40	-2.16	4.82
    81 	[Retrieved Data]81 (5/13/2024 9:20:54 PM)	3	79.21	------		45.70	51.66	30.01	-49.67	50.24	33.35	78.13
    81 	[Retrieved Data]81 (5/13/2024 9:20:54 PM)	3	78.68	------		45.69	51.66	30.09	-48.15	50.44	33.75	77.47
    82 	[Retrieved Data]82 (5/13/2024 9:20:54 PM)	3	99.66	------		64.22	55.04	59.01	-31.16	53.62	62.36	87.95
    82 	[Retrieved Data]82 (5/13/2024 9:20:54 PM)	3	98.88	------		64.17	54.97	58.98	-29.68	53.76	62.64	87.72
    83 	[Retrieved Data]83 (5/13/2024 9:20:54 PM)	3	112.01	------		85.74	10.44	90.47	-9.64	9.02	93.82	94.74
    83 	[Retrieved Data]83 (5/13/2024 9:20:54 PM)	3	111.20	------		85.66	10.48	90.42	-8.19	9.26	94.09	94.89
    84 	[Retrieved Data]84 (5/13/2024 9:20:54 PM)	3	54.98	------		61.40	-32.59	19.74	-33.98	-34.01	23.09	53.33
    84 	[Retrieved Data]84 (5/13/2024 9:20:54 PM)	3	54.37	------		61.35	-32.60	19.76	-32.50	-33.82	23.42	52.42
    85 	[Retrieved Data]85 (5/13/2024 9:20:54 PM)	3	45.97	------		71.57	-33.45	-11.72	-23.80	-34.87	-8.38	43.04
    85 	[Retrieved Data]85 (5/13/2024 9:20:54 PM)	3	44.93	------		71.50	-33.44	-11.67	-22.34	-34.65	-8.01	42.00
    86 	[Retrieved Data]86 (5/13/2024 9:20:54 PM)	3	53.86	------		57.11	-6.71	-42.74	-38.27	-8.13	-39.40	55.52
    86 	[Retrieved Data]86 (5/13/2024 9:20:54 PM)	3	52.36	------		57.05	-6.72	-42.65	-36.80	-7.94	-38.99	54.19
    87 	[Retrieved Data]87 (5/13/2024 9:20:54 PM)	3	40.47	------		58.83	16.13	-26.30	-36.55	14.71	-22.96	45.60
    87 	[Retrieved Data]87 (5/13/2024 9:20:54 PM)	3	39.36	------		58.78	16.13	-26.21	-35.06	14.91	-22.55	44.27
    88 	[Retrieved Data]88 (5/13/2024 9:20:54 PM)	3	38.04	------		42.86	11.38	-4.52	-52.52	9.96	-1.18	53.47
    88 	[Retrieved Data]88 (5/13/2024 9:20:54 PM)	3	37.35	------		42.82	11.40	-4.47	-51.03	10.19	-0.81	52.04
    89 	[Retrieved Data]89 (5/13/2024 9:20:54 PM)	3	29.39	------		78.49	3.09	18.24	-16.88	1.67	21.59	27.46
    89 	[Retrieved Data]89 (5/13/2024 9:20:54 PM)	3	31.16	------		75.98	3.40	19.20	-17.86	2.18	22.87	29.10
    90 	[Retrieved Data]90 (5/13/2024 9:20:54 PM)	3	29.38	------		78.50	3.09	18.23	-16.88	1.67	21.58	27.45
    90 	[Retrieved Data]90 (5/13/2024 9:20:54 PM)	3	31.15	------		75.98	3.41	19.19	-17.86	2.20	22.86	29.09
    91 	[Retrieved Data]91 (5/13/2024 9:20:54 PM)	3	21.96	------		87.84	0.75	13.49	-7.54	-0.67	16.84	18.46
    91 	[Retrieved Data]91 (5/13/2024 9:20:54 PM)	3	23.00	------		85.82	0.79	13.92	-8.03	-0.43	17.58	19.33
    92 	[Retrieved Data]92 (5/13/2024 9:20:54 PM)	3	14.96	------		92.71	0.49	8.08	-2.67	-0.93	11.42	11.77
    92 	[Retrieved Data]92 (5/13/2024 9:20:54 PM)	3	15.58	------		90.92	0.46	8.16	-2.92	-0.76	11.83	12.21
    93 	[Retrieved Data]93 (5/13/2024 9:20:54 PM)	3	9.33	------		91.94	2.69	3.40	-3.44	1.27	6.74	7.67
    93 	[Retrieved Data]93 (5/13/2024 9:20:54 PM)	3	9.78	------		90.11	2.71	3.29	-3.74	1.50	6.96	8.04
    94 	[Retrieved Data]94 (5/13/2024 9:20:54 PM)	3	4.25	------		94.34	0.32	0.02	-1.04	-1.10	3.36	3.69
    94 	[Retrieved Data]94 (5/13/2024 9:20:54 PM)	3	4.17	------		92.66	0.22	-0.25	-1.18	-1.00	3.42	3.75
    95 	[Retrieved Data]95 (5/13/2024 9:20:54 PM)	3	0.06	------		95.37	1.40	-3.39	-0.01	-0.02	-0.04	0.05
    95 	[Retrieved Data]95 (5/13/2024 9:20:54 PM)	3	0.17	------		93.74	1.30	-3.77	-0.11	0.08	-0.10	0.17
