	Data Name	Target No.	CMC(l:c)(D65)	Judgement	Pseudo Color(D65)	L*(D65)	a*(D65)	b*(D65)	dL*(D65)	da*(D65)	db*(D65)	dE*ab(D65)
   389 	[Retrieved Data]389 (5/13/2024 9:20:54 PM)	3	22.82	------		87.54	-3.82	13.21	-6.31	-5.04	16.88	18.71
   390 	[Retrieved Data]390 (5/13/2024 9:20:54 PM)	3	24.82	------		84.52	-0.13	15.39	-10.85	-1.55	18.73	21.71
   390 	[Retrieved Data]390 (5/13/2024 9:20:54 PM)	3	25.34	------		82.78	-0.06	15.43	-11.06	-1.27	19.09	22.10
   391 	[Retrieved Data]391 (5/13/2024 9:20:54 PM)	3	25.95	------		86.42	-3.47	16.11	-8.96	-4.89	19.45	21.97
   391 	[Retrieved Data]391 (5/13/2024 9:20:54 PM)	3	26.42	------		84.75	-3.51	16.16	-9.09	-4.73	19.83	22.32
   392 	[Retrieved Data]392 (5/13/2024 9:20:54 PM)	3	25.92	------		89.65	-1.75	16.83	-5.73	-3.17	20.17	21.21
   392 	[Retrieved Data]392 (5/13/2024 9:20:54 PM)	3	26.33	------		88.09	-1.73	16.82	-5.76	-2.95	20.49	21.49
   393 	[Retrieved Data]393 (5/13/2024 9:20:54 PM)	3	29.31	------		83.67	-3.28	18.74	-11.71	-4.70	22.09	25.44
   393 	[Retrieved Data]393 (5/13/2024 9:20:54 PM)	3	29.99	------		81.89	-3.31	18.97	-11.95	-4.53	22.64	26.00
   394 	[Retrieved Data]394 (5/13/2024 9:20:54 PM)	3	29.49	------		86.70	-1.09	19.70	-8.68	-2.51	23.05	24.76
   394 	[Retrieved Data]394 (5/13/2024 9:20:54 PM)	3	30.06	------		85.04	-1.06	19.84	-8.80	-2.27	23.51	25.21
   395 	[Retrieved Data]395 (5/13/2024 9:20:54 PM)	3	29.53	------		89.75	1.21	20.20	-5.63	-0.20	23.54	24.21
   395 	[Retrieved Data]395 (5/13/2024 9:20:54 PM)	3	30.06	------		88.22	1.33	20.30	-5.62	0.11	23.97	24.62
   396 	[Retrieved Data]396 (5/13/2024 9:20:54 PM)	3	23.37	------		83.90	-3.73	13.24	-11.48	-5.15	16.58	20.81
   396 	[Retrieved Data]396 (5/13/2024 9:20:54 PM)	3	23.82	------		82.12	-3.79	13.22	-11.73	-5.01	16.89	21.16
   397 	[Retrieved Data]397 (5/13/2024 9:20:54 PM)	3	23.69	------		84.10	-1.96	14.03	-11.28	-3.38	17.37	20.99
   397 	[Retrieved Data]397 (5/13/2024 9:20:54 PM)	3	24.17	------		82.31	-1.94	14.03	-11.54	-3.16	17.70	21.36
   398 	[Retrieved Data]398 (5/13/2024 9:20:54 PM)	3	23.88	------		87.18	-0.19	14.99	-8.19	-1.61	18.33	20.14
   398 	[Retrieved Data]398 (5/13/2024 9:20:54 PM)	3	24.32	------		85.57	-0.12	14.97	-8.28	-1.34	18.64	20.44
   399 	[Retrieved Data]399 (5/13/2024 9:20:54 PM)	3	26.28	------		89.07	-3.48	16.73	-6.31	-4.90	20.08	21.61
   399 	[Retrieved Data]399 (5/13/2024 9:20:54 PM)	3	26.67	------		87.51	-3.53	16.72	-6.34	-4.74	20.39	21.87
   400 	[Retrieved Data]400 (5/13/2024 9:20:54 PM)	3	27.53	------		84.52	-0.00	17.79	-10.86	-1.42	21.13	23.80
   400 	[Retrieved Data]400 (5/13/2024 9:20:54 PM)	3	28.16	------		82.76	0.09	17.94	-11.08	-1.13	21.61	24.31
   401 	[Retrieved Data]401 (5/13/2024 9:20:54 PM)	3	30.18	------		86.40	-3.12	19.95	-8.98	-4.54	23.29	25.37
   401 	[Retrieved Data]401 (5/13/2024 9:20:54 PM)	3	30.77	------		84.73	-3.15	20.13	-9.11	-4.37	23.80	25.85
   402 	[Retrieved Data]402 (5/13/2024 9:20:54 PM)	3	29.00	------		89.62	-1.47	19.53	-5.76	-2.89	22.87	23.76
   402 	[Retrieved Data]402 (5/13/2024 9:20:54 PM)	3	29.49	------		88.08	-1.45	19.61	-5.76	-2.67	23.28	24.13
   403 	[Retrieved Data]403 (5/13/2024 9:20:54 PM)	3	27.93	------		80.05	3.46	17.25	-15.33	2.04	20.60	25.76
   403 	[Retrieved Data]403 (5/13/2024 9:20:54 PM)	3	28.74	------		78.11	3.69	17.46	-15.73	2.47	21.12	26.45
   404 	[Retrieved Data]404 (5/13/2024 9:20:54 PM)	3	22.06	------		86.50	-3.12	12.73	-8.88	-4.54	16.07	18.91
   404 	[Retrieved Data]404 (5/13/2024 9:20:54 PM)	3	22.38	------		84.81	-3.14	12.61	-9.03	-4.36	16.28	19.12
   405 	[Retrieved Data]405 (5/13/2024 9:20:54 PM)	3	22.96	------		86.98	-1.77	13.93	-8.40	-3.18	17.27	19.47
   405 	[Retrieved Data]405 (5/13/2024 9:20:54 PM)	3	23.33	------		85.32	-1.73	13.86	-8.52	-2.95	17.52	19.71
   406 	[Retrieved Data]406 (5/13/2024 9:20:54 PM)	3	23.04	------		90.04	-0.31	14.59	-5.34	-1.73	17.93	18.79
   406 	[Retrieved Data]406 (5/13/2024 9:20:54 PM)	3	23.35	------		88.51	-0.24	14.47	-5.33	-1.46	18.14	18.96
   407 	[Retrieved Data]407 (5/13/2024 9:20:54 PM)	3	27.51	------		83.90	-2.06	17.41	-11.48	-3.48	20.76	23.97
   407 	[Retrieved Data]407 (5/13/2024 9:20:54 PM)	3	28.14	------		82.13	-2.05	17.57	-11.72	-3.27	21.24	24.48
   408 	[Retrieved Data]408 (5/13/2024 9:20:54 PM)	3	27.75	------		87.29	0.22	18.39	-8.08	-1.20	21.73	23.22
   408 	[Retrieved Data]408 (5/13/2024 9:20:54 PM)	3	28.29	------		85.65	0.32	18.48	-8.20	-0.90	22.15	23.63
   409 	[Retrieved Data]409 (5/13/2024 9:20:54 PM)	3	29.38	------		89.16	-3.55	19.45	-6.22	-4.97	22.79	24.14
   409 	[Retrieved Data]409 (5/13/2024 9:20:54 PM)	3	29.88	------		87.59	-3.58	19.56	-6.26	-4.80	23.22	24.53
   410 	[Retrieved Data]410 (5/13/2024 9:20:54 PM)	3	29.77	------		84.71	0.95	19.84	-10.67	-0.47	23.18	25.53
   410 	[Retrieved Data]410 (5/13/2024 9:20:54 PM)	3	30.46	------		82.97	1.05	20.04	-10.87	-0.16	23.71	26.08
   411 	[Retrieved Data]411 (5/13/2024 9:20:54 PM)	3	49.60	------		23.48	2.17	0.29	-71.90	0.75	3.63	71.99
   411 	[Retrieved Data]411 (5/13/2024 9:20:54 PM)	3	61.71	------		4.52	1.92	-3.79	-89.32	0.71	-0.12	89.33
   412 	[Retrieved Data]412 (5/13/2024 9:20:54 PM)	3	75.17	------		42.52	-44.87	26.07	-52.86	-46.29	29.42	76.18
   412 	[Retrieved Data]412 (5/13/2024 9:20:54 PM)	3	95.06	------		36.59	-59.96	36.63	-57.26	-61.17	40.30	92.98
   413 	[Retrieved Data]413 (5/13/2024 9:20:54 PM)	3	22.14	------		89.54	-2.09	13.48	-5.83	-3.51	16.82	18.15
   413 	[Retrieved Data]413 (5/13/2024 9:20:54 PM)	3	22.41	------		87.97	-2.07	13.34	-5.87	-3.29	17.01	18.29
   414 	[Retrieved Data]414 (5/13/2024 9:20:54 PM)	3	26.33	------		83.57	-3.66	15.92	-11.81	-5.08	19.26	23.16
   414 	[Retrieved Data]414 (5/13/2024 9:20:54 PM)	3	26.88	------		81.78	-3.71	16.02	-12.07	-4.93	19.69	23.61
   415 	[Retrieved Data]415 (5/13/2024 9:20:54 PM)	3	26.69	------		86.82	-1.49	17.22	-8.56	-2.91	20.57	22.47
   415 	[Retrieved Data]415 (5/13/2024 9:20:54 PM)	3	27.20	------		85.16	-1.46	17.29	-8.68	-2.68	20.96	22.84
   416 	[Retrieved Data]416 (5/13/2024 9:20:54 PM)	3	26.85	------		90.10	0.34	17.90	-5.27	-1.08	21.25	21.92
   416 	[Retrieved Data]416 (5/13/2024 9:20:54 PM)	3	27.29	------		88.57	0.42	17.91	-5.28	-0.80	21.58	22.23
   417 	[Retrieved Data]417 (5/13/2024 9:20:54 PM)	3	29.24	------		84.15	-1.13	19.12	-11.23	-2.55	22.47	25.24
   417 	[Retrieved Data]417 (5/13/2024 9:20:54 PM)	3	29.91	------		82.40	-1.08	19.34	-11.44	-2.30	23.01	25.80
   418 	[Retrieved Data]418 (5/13/2024 9:20:54 PM)	3	29.52	------		87.24	0.81	19.95	-8.14	-0.61	23.29	24.68
   418 	[Retrieved Data]418 (5/13/2024 9:20:54 PM)	3	30.11	------		85.60	0.91	20.09	-8.24	-0.30	23.75	25.15
   419 	[Retrieved Data]419 (5/13/2024 9:20:54 PM)	3	70.89	------		30.32	24.60	-44.57	-65.06	23.18	-41.22	80.43
   419 	[Retrieved Data]419 (5/13/2024 9:20:54 PM)	3	89.40	------		19.63	36.74	-56.73	-74.22	35.53	-53.07	97.91
   420 	[Retrieved Data]420 (5/13/2024 9:20:54 PM)	3	91.96	------		51.37	57.15	44.39	-44.01	55.73	47.73	85.56
   420 	[Retrieved Data]420 (5/13/2024 9:20:54 PM)	3	110.12	------		46.25	64.32	60.38	-47.60	63.10	64.05	101.73
   421 	[Retrieved Data]421 (5/13/2024 9:20:54 PM)	3	17.16	------		94.51	-3.27	9.13	-0.87	-4.69	12.48	13.35
   421 	[Retrieved Data]421 (5/13/2024 9:20:54 PM)	3	17.19	------		93.17	-3.30	8.80	-0.68	-4.52	12.46	13.27
   422 	[Retrieved Data]422 (5/13/2024 9:20:54 PM)	3	18.25	------		90.01	0.67	10.59	-5.37	-0.75	13.94	14.95
   422 	[Retrieved Data]422 (5/13/2024 9:20:54 PM)	3	18.42	------		88.47	0.77	10.32	-5.38	-0.45	13.99	14.99
   423 	[Retrieved Data]423 (5/13/2024 9:20:54 PM)	3	21.11	------		92.06	-3.44	12.44	-3.32	-4.86	15.78	16.84
   423 	[Retrieved Data]423 (5/13/2024 9:20:54 PM)	3	21.27	------		90.60	-3.47	12.22	-3.24	-4.68	15.89	16.88
   424 	[Retrieved Data]424 (5/13/2024 9:20:54 PM)	3	19.85	------		95.28	-2.00	11.84	-0.10	-3.42	15.19	15.57
   424 	[Retrieved Data]424 (5/13/2024 9:20:54 PM)	3	19.99	------		93.93	-2.00	11.59	0.09	-3.22	15.26	15.59
   425 	[Retrieved Data]425 (5/13/2024 9:20:54 PM)	3	23.87	------		89.17	-2.63	14.83	-6.21	-4.05	18.17	19.63
   425 	[Retrieved Data]425 (5/13/2024 9:20:54 PM)	3	24.22	------		87.62	-2.64	14.76	-6.23	-3.86	18.43	19.83
   426 	[Retrieved Data]426 (5/13/2024 9:20:54 PM)	3	24.76	------		92.67	-0.77	16.18	-2.71	-2.19	19.52	19.83
   426 	[Retrieved Data]426 (5/13/2024 9:20:54 PM)	3	25.05	------		91.22	-0.71	16.06	-2.62	-1.93	19.73	20.00
   427 	[Retrieved Data]427 (5/13/2024 9:20:54 PM)	3	22.30	------		94.73	-1.63	14.02	-0.65	-3.05	17.36	17.64
   427 	[Retrieved Data]427 (5/13/2024 9:20:54 PM)	3	22.47	------		93.32	-1.60	13.79	-0.53	-2.82	17.46	17.69
   428 	[Retrieved Data]428 (5/13/2024 9:20:54 PM)	3	18.04	------		89.37	-3.22	9.51	-6.00	-4.64	12.85	14.93
   428 	[Retrieved Data]428 (5/13/2024 9:20:54 PM)	3	18.15	------		87.81	-3.24	9.24	-6.04	-4.45	12.91	14.93
   429 	[Retrieved Data]429 (5/13/2024 9:20:54 PM)	3	17.53	------		89.44	-1.21	9.65	-5.94	-2.63	12.99	14.53
   429 	[Retrieved Data]429 (5/13/2024 9:20:54 PM)	3	17.65	------		87.86	-1.17	9.36	-5.99	-2.39	13.03	14.54
   430 	[Retrieved Data]430 (5/13/2024 9:20:54 PM)	3	17.64	------		92.90	0.30	10.30	-2.48	-1.12	13.64	13.91
   430 	[Retrieved Data]430 (5/13/2024 9:20:54 PM)	3	17.72	------		91.48	0.39	9.98	-2.37	-0.82	13.64	13.87
   431 	[Retrieved Data]431 (5/13/2024 9:20:54 PM)	3	20.09	------		94.68	-2.82	11.84	-0.70	-4.24	15.19	15.78
   431 	[Retrieved Data]431 (5/13/2024 9:20:54 PM)	3	20.19	------		93.31	-2.82	11.57	-0.53	-4.04	15.23	15.77
   432 	[Retrieved Data]432 (5/13/2024 9:20:54 PM)	3	22.44	------		89.77	0.75	14.13	-5.61	-0.67	17.48	18.37
   432 	[Retrieved Data]432 (5/13/2024 9:20:54 PM)	3	22.76	------		88.35	0.84	14.02	-5.49	-0.38	17.69	18.52
   433 	[Retrieved Data]433 (5/13/2024 9:20:54 PM)	3	24.49	------		92.17	-3.10	15.50	-3.21	-4.52	18.84	19.64
   433 	[Retrieved Data]433 (5/13/2024 9:20:54 PM)	3	24.75	------		90.71	-3.12	15.38	-3.13	-4.34	19.04	19.78
   434 	[Retrieved Data]434 (5/13/2024 9:20:54 PM)	3	22.59	------		95.00	-2.16	14.16	-0.37	-3.58	17.50	17.87
   434 	[Retrieved Data]434 (5/13/2024 9:20:54 PM)	3	22.76	------		93.68	-2.14	13.94	-0.17	-3.36	17.61	17.93
   435 	[Retrieved Data]435 (5/13/2024 9:20:54 PM)	3	22.11	------		87.10	3.63	13.43	-8.28	2.21	16.78	18.84
   435 	[Retrieved Data]435 (5/13/2024 9:20:54 PM)	3	22.52	------		85.45	3.83	13.30	-8.39	2.61	16.97	19.11
   436 	[Retrieved Data]436 (5/13/2024 9:20:54 PM)	3	17.14	------		91.90	-3.74	8.78	-3.48	-5.16	12.13	13.63
   436 	[Retrieved Data]436 (5/13/2024 9:20:54 PM)	3	17.13	------		90.45	-3.77	8.43	-3.39	-4.99	12.09	13.52
   437 	[Retrieved Data]437 (5/13/2024 9:20:54 PM)	3	16.99	------		92.44	-1.98	9.31	-2.94	-3.40	12.65	13.43
   437 	[Retrieved Data]437 (5/13/2024 9:20:54 PM)	3	17.03	------		91.00	-1.95	8.98	-2.85	-3.17	12.65	13.35
   438 	[Retrieved Data]438 (5/13/2024 9:20:54 PM)	3	17.42	------		95.43	-1.81	9.82	0.05	-3.23	13.17	13.56
   438 	[Retrieved Data]438 (5/13/2024 9:20:54 PM)	3	17.43	------		94.16	-1.78	9.46	0.31	-3.00	13.12	13.47
   439 	[Retrieved Data]439 (5/13/2024 9:20:54 PM)	3	21.17	------		89.44	-1.30	12.78	-5.94	-2.72	16.13	17.40
   439 	[Retrieved Data]439 (5/13/2024 9:20:54 PM)	3	21.42	------		87.87	-1.26	12.61	-5.98	-2.48	16.28	17.52
   440 	[Retrieved Data]440 (5/13/2024 9:20:54 PM)	3	22.25	------		92.86	0.86	14.20	-2.52	-0.56	17.55	17.74
   440 	[Retrieved Data]440 (5/13/2024 9:20:54 PM)	3	22.44	------		91.64	0.95	13.98	-2.20	-0.27	17.64	17.78
   441 	[Retrieved Data]441 (5/13/2024 9:20:54 PM)	3	23.13	------		94.79	-2.72	14.49	-0.59	-4.14	17.84	18.32
   441 	[Retrieved Data]441 (5/13/2024 9:20:54 PM)	3	23.33	------		93.41	-2.74	14.31	-0.43	-3.95	17.98	18.41
   442 	[Retrieved Data]442 (5/13/2024 9:20:54 PM)	3	25.09	------		90.06	1.59	16.44	-5.32	0.17	19.79	20.49
   442 	[Retrieved Data]442 (5/13/2024 9:20:54 PM)	3	25.50	------		88.50	1.72	16.39	-5.34	0.50	20.06	20.76
   443 	[Retrieved Data]443 (5/13/2024 9:20:54 PM)	3	49.53	------		23.60	2.16	0.40	-71.78	0.75	3.75	71.88
   443 	[Retrieved Data]443 (5/13/2024 9:20:54 PM)	3	61.65	------		4.61	1.96	-3.64	-89.23	0.74	0.03	89.23
   444 	[Retrieved Data]444 (5/13/2024 9:20:54 PM)	3	72.67	------		41.53	-42.41	24.73	-53.84	-43.83	28.07	74.89
   444 	[Retrieved Data]444 (5/13/2024 9:20:54 PM)	3	92.97	------		35.27	-57.93	35.38	-58.58	-59.14	39.04	91.94
   445 	[Retrieved Data]445 (5/13/2024 9:20:54 PM)	3	16.52	------		95.51	-1.65	9.10	0.13	-3.07	12.44	12.82
   445 	[Retrieved Data]445 (5/13/2024 9:20:54 PM)	3	16.51	------		94.21	-1.63	8.72	0.36	-2.84	12.39	12.71
   446 	[Retrieved Data]446 (5/13/2024 9:20:54 PM)	3	20.18	------		89.07	-2.78	11.52	-6.31	-4.20	14.87	16.69
   446 	[Retrieved Data]446 (5/13/2024 9:20:54 PM)	3	20.39	------		87.49	-2.79	11.33	-6.35	-4.01	15.00	16.78
   447 	[Retrieved Data]447 (5/13/2024 9:20:54 PM)	3	20.51	------		92.61	-1.44	12.45	-2.76	-2.86	15.80	16.29
   447 	[Retrieved Data]447 (5/13/2024 9:20:54 PM)	3	20.69	------		91.19	-1.40	12.24	-2.65	-2.61	15.91	16.34
   448 	[Retrieved Data]448 (5/13/2024 9:20:54 PM)	3	19.37	------		95.31	-1.94	11.45	-0.07	-3.36	14.80	15.17
   448 	[Retrieved Data]448 (5/13/2024 9:20:54 PM)	3	19.45	------		93.97	-1.91	11.15	0.13	-3.13	14.82	15.15
   449 	[Retrieved Data]449 (5/13/2024 9:20:54 PM)	3	23.80	------		89.74	-0.65	15.17	-5.64	-2.07	18.52	19.47
   449 	[Retrieved Data]449 (5/13/2024 9:20:54 PM)	3	24.15	------		88.20	-0.59	15.09	-5.65	-1.81	18.76	19.67
   450 	[Retrieved Data]450 (5/13/2024 9:20:54 PM)	3	24.28	------		92.92	0.82	15.92	-2.46	-0.59	19.26	19.43
   450 	[Retrieved Data]450 (5/13/2024 9:20:54 PM)	3	24.62	------		91.49	0.94	15.82	-2.35	-0.28	19.49	19.63
   451 	[Retrieved Data]451 (5/13/2024 9:20:54 PM)	3	71.54	------		30.27	25.11	-45.07	-65.11	23.69	-41.73	80.88
   451 	[Retrieved Data]451 (5/13/2024 9:20:54 PM)	3	89.96	------		19.70	37.30	-57.11	-74.15	36.09	-53.44	98.26
   452 	[Retrieved Data]452 (5/13/2024 9:20:54 PM)	3	92.66	------		51.19	57.69	44.68	-44.19	56.27	48.02	86.17
   452 	[Retrieved Data]452 (5/13/2024 9:20:54 PM)	3	111.44	------		46.19	64.75	61.62	-47.65	63.54	65.29	102.81
   453 	[Retrieved Data]453 (5/13/2024 9:20:54 PM)	3	12.90	------		92.32	-1.49	5.94	-3.06	-2.91	9.29	10.20
   453 	[Retrieved Data]453 (5/13/2024 9:20:54 PM)	3	12.77	------		90.90	-1.47	5.51	-2.95	-2.68	9.17	10.00
   454 	[Retrieved Data]454 (5/13/2024 9:20:54 PM)	3	15.39	------		87.48	3.08	7.68	-7.90	1.66	11.02	13.66
   454 	[Retrieved Data]454 (5/13/2024 9:20:54 PM)	3	15.60	------		85.87	3.26	7.36	-7.98	2.04	11.02	13.76
   455 	[Retrieved Data]455 (5/13/2024 9:20:54 PM)	3	15.81	------		89.36	-0.71	8.25	-6.02	-2.13	11.59	13.23
   455 	[Retrieved Data]455 (5/13/2024 9:20:54 PM)	3	15.89	------		87.82	-0.65	7.94	-6.02	-1.87	11.61	13.21
   456 	[Retrieved Data]456 (5/13/2024 9:20:54 PM)	3	16.19	------		92.98	1.30	9.17	-2.39	-0.12	12.51	12.74
   456 	[Retrieved Data]456 (5/13/2024 9:20:54 PM)	3	16.29	------		91.58	1.43	8.83	-2.27	0.21	12.49	12.70
   457 	[Retrieved Data]457 (5/13/2024 9:20:54 PM)	3	20.36	------		86.81	-0.37	11.84	-8.57	-1.79	15.19	17.53
   457 	[Retrieved Data]457 (5/13/2024 9:20:54 PM)	3	20.67	------		85.18	-0.30	11.69	-8.67	-1.52	15.36	17.70
   458 	[Retrieved Data]458 (5/13/2024 9:20:54 PM)	3	20.64	------		90.05	1.79	12.65	-5.33	0.37	16.00	16.87
   458 	[Retrieved Data]458 (5/13/2024 9:20:54 PM)	3	20.93	------		88.54	1.92	12.48	-5.30	0.70	16.15	17.01
   459 	[Retrieved Data]459 (5/13/2024 9:20:54 PM)	3	19.23	------		92.49	2.57	11.64	-2.89	1.15	14.98	15.30
   459 	[Retrieved Data]459 (5/13/2024 9:20:54 PM)	3	19.43	------		91.07	2.72	11.37	-2.77	1.50	15.04	15.36
   460 	[Retrieved Data]460 (5/13/2024 9:20:54 PM)	3	14.01	------		86.90	-1.23	6.03	-8.48	-2.65	9.38	12.92
   460 	[Retrieved Data]460 (5/13/2024 9:20:54 PM)	3	14.04	------		85.24	-1.19	5.67	-8.61	-2.40	9.34	12.93
   461 	[Retrieved Data]461 (5/13/2024 9:20:54 PM)	3	14.22	------		87.13	1.09	6.66	-8.25	-0.32	10.01	12.97
   461 	[Retrieved Data]461 (5/13/2024 9:20:54 PM)	3	14.33	------		85.51	1.21	6.32	-8.34	-0.01	9.99	13.01
   462 	[Retrieved Data]462 (5/13/2024 9:20:54 PM)	3	14.21	------		90.32	2.86	7.19	-5.06	1.44	10.54	11.77
   462 	[Retrieved Data]462 (5/13/2024 9:20:54 PM)	3	14.32	------		88.82	3.03	6.82	-5.03	1.81	10.48	11.77
   463 	[Retrieved Data]463 (5/13/2024 9:20:54 PM)	3	15.56	------		92.46	-1.01	8.33	-2.92	-2.43	11.67	12.27
   463 	[Retrieved Data]463 (5/13/2024 9:20:54 PM)	3	15.57	------		91.04	-0.96	7.98	-2.80	-2.18	11.64	12.17
   464 	[Retrieved Data]464 (5/13/2024 9:20:54 PM)	3	18.77	------		87.52	2.98	10.66	-7.86	1.56	14.00	16.13
   464 	[Retrieved Data]464 (5/13/2024 9:20:54 PM)	3	19.09	------		85.89	3.15	10.45	-7.96	1.94	14.11	16.32
   465 	[Retrieved Data]465 (5/13/2024 9:20:54 PM)	3	19.51	------		89.62	-0.38	11.52	-5.76	-1.80	14.86	16.04
   465 	[Retrieved Data]465 (5/13/2024 9:20:54 PM)	3	19.73	------		88.07	-0.31	11.31	-5.77	-1.53	14.97	16.12
   466 	[Retrieved Data]466 (5/13/2024 9:20:54 PM)	3	19.27	------		93.05	1.57	11.73	-2.33	0.15	15.07	15.25
   466 	[Retrieved Data]466 (5/13/2024 9:20:54 PM)	3	19.47	------		91.66	1.69	11.48	-2.18	0.48	15.15	15.31
   467 	[Retrieved Data]467 (5/13/2024 9:20:54 PM)	3	12.44	------		86.33	4.14	4.46	-9.05	2.72	7.80	12.26
   467 	[Retrieved Data]467 (5/13/2024 9:20:54 PM)	3	12.62	------		84.68	4.36	4.01	-9.17	3.15	7.68	12.36
   468 	[Retrieved Data]468 (5/13/2024 9:20:54 PM)	3	11.97	------		89.29	-0.95	4.86	-6.09	-2.37	8.21	10.49
   468 	[Retrieved Data]468 (5/13/2024 9:20:54 PM)	3	11.87	------		87.73	-0.91	4.44	-6.11	-2.12	8.10	10.37
   469 	[Retrieved Data]469 (5/13/2024 9:20:54 PM)	3	12.88	------		89.78	0.80	6.04	-5.60	-0.62	9.39	10.95
   469 	[Retrieved Data]469 (5/13/2024 9:20:54 PM)	3	12.90	------		88.24	0.90	5.66	-5.61	-0.32	9.32	10.88
   470 	[Retrieved Data]470 (5/13/2024 9:20:54 PM)	3	13.97	------		93.14	2.53	7.31	-2.24	1.11	10.66	10.95
   470 	[Retrieved Data]470 (5/13/2024 9:20:54 PM)	3	14.03	------		91.77	2.68	6.92	-2.07	1.47	10.58	10.88
   471 	[Retrieved Data]471 (5/13/2024 9:20:54 PM)	3	17.78	------		87.04	1.01	9.75	-8.34	-0.41	13.10	15.53
   471 	[Retrieved Data]471 (5/13/2024 9:20:54 PM)	3	18.06	------		85.39	1.12	9.55	-8.46	-0.10	13.21	15.69
   472 	[Retrieved Data]472 (5/13/2024 9:20:54 PM)	3	18.70	------		90.30	3.34	10.95	-5.08	1.92	14.30	15.29
   472 	[Retrieved Data]472 (5/13/2024 9:20:54 PM)	3	19.01	------		88.81	3.52	10.73	-5.04	2.30	14.40	15.43
   473 	[Retrieved Data]473 (5/13/2024 9:20:54 PM)	3	18.89	------		92.40	-0.94	11.15	-2.98	-2.36	14.50	14.99
   473 	[Retrieved Data]473 (5/13/2024 9:20:54 PM)	3	19.06	------		90.98	-0.92	10.91	-2.86	-2.14	14.58	15.01
   474 	[Retrieved Data]474 (5/13/2024 9:20:54 PM)	3	21.74	------		87.78	3.57	13.22	-7.59	2.15	16.56	18.35
   474 	[Retrieved Data]474 (5/13/2024 9:20:54 PM)	3	22.13	------		86.19	3.76	13.08	-7.66	2.54	16.75	18.59
   475 	[Retrieved Data]475 (5/13/2024 9:20:54 PM)	3	49.67	------		23.35	2.07	0.18	-72.02	0.65	3.52	72.11
   475 	[Retrieved Data]475 (5/13/2024 9:20:54 PM)	3	61.76	------		4.46	1.97	-3.84	-89.39	0.75	-0.18	89.39
   476 	[Retrieved Data]476 (5/13/2024 9:20:54 PM)	3	72.33	------		41.55	-41.87	24.94	-53.83	-43.29	28.29	74.64
   476 	[Retrieved Data]476 (5/13/2024 9:20:54 PM)	3	92.53	------		35.28	-57.13	35.79	-58.57	-58.35	39.45	91.60
   477 	[Retrieved Data]477 (5/13/2024 9:20:54 PM)	3	12.56	------		92.68	0.94	6.15	-2.70	-0.48	9.50	9.89
   477 	[Retrieved Data]477 (5/13/2024 9:20:54 PM)	3	12.50	------		91.27	1.05	5.72	-2.58	-0.17	9.38	9.73
   478 	[Retrieved Data]478 (5/13/2024 9:20:54 PM)	3	16.80	------		86.66	-0.75	8.61	-8.72	-2.17	11.95	14.95
   478 	[Retrieved Data]478 (5/13/2024 9:20:54 PM)	3	16.99	------		85.01	-0.70	8.36	-8.83	-1.92	12.03	15.05
   479 	[Retrieved Data]479 (5/13/2024 9:20:54 PM)	3	16.24	------		89.98	1.30	8.92	-5.40	-0.12	12.27	13.40
   479 	[Retrieved Data]479 (5/13/2024 9:20:54 PM)	3	16.40	------		88.47	1.41	8.63	-5.38	0.20	12.30	13.43
   480 	[Retrieved Data]480 (5/13/2024 9:20:54 PM)	3	15.98	------		92.99	2.40	8.97	-2.39	0.98	12.32	12.58
   480 	[Retrieved Data]480 (5/13/2024 9:20:54 PM)	3	16.10	------		91.59	2.55	8.62	-2.26	1.34	12.29	12.57
   481 	[Retrieved Data]481 (5/13/2024 9:20:54 PM)	3	20.15	------		87.24	1.63	11.87	-8.14	0.22	15.21	17.25
   481 	[Retrieved Data]481 (5/13/2024 9:20:54 PM)	3	20.50	------		85.62	1.76	11.72	-8.23	0.54	15.38	17.45
   482 	[Retrieved Data]482 (5/13/2024 9:20:54 PM)	3	21.10	------		90.39	3.70	12.96	-4.99	2.28	16.31	17.21
   482 	[Retrieved Data]482 (5/13/2024 9:20:54 PM)	3	21.45	------		88.90	3.88	12.79	-4.94	2.66	16.46	17.39
   483 	[Retrieved Data]483 (5/13/2024 9:20:54 PM)	3	71.76	------		30.23	25.22	-45.27	-65.15	23.80	-41.93	81.05
   483 	[Retrieved Data]483 (5/13/2024 9:20:54 PM)	3	90.18	------		19.70	37.44	-57.30	-74.14	36.22	-53.64	98.41
   484 	[Retrieved Data]484 (5/13/2024 9:20:54 PM)	3	92.69	------		51.36	57.61	44.85	-44.02	56.19	48.20	86.13
   484 	[Retrieved Data]484 (5/13/2024 9:20:54 PM)	3	111.74	------		46.32	64.76	62.02	-47.53	63.54	65.69	103.01
   485 	[Retrieved Data]485 (5/13/2024 9:20:54 PM)	3	11.05	------		93.51	-2.49	4.03	-1.87	-3.91	7.37	8.55
   485 	[Retrieved Data]485 (5/13/2024 9:20:54 PM)	3	10.80	------		92.13	-2.50	3.53	-1.71	-3.72	7.20	8.28
   486 	[Retrieved Data]486 (5/13/2024 9:20:54 PM)	3	12.07	------		88.66	2.23	5.13	-6.72	0.81	8.48	10.85
